name,Label,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152
4B2G1,0,258.054229,255.299691,278.492955,275.258838,289.347566,287.247927,286.058176,296.438676,301.039143,300.781714,307.305851,308.219676,312.550444,311.666707,315.616756,318.54106,322.457927,326.558636,330.949427,336.52842,343.795531,352.501566,359.595675,372.104547,385.386363,400.215034,417.191463,435.551443,456.392686,479.043834,502.863856,525.278621,546.064559,569.402528,590.814032,610.02003,631.463268,645.703143,662.827381,676.304425,692.487642,701.059479,714.69592,726.892119,736.273264,750.017128,754.658096,768.863902,776.687184,788.905898,804.369018,817.718401,826.628226,840.257156,857.164582,869.526184,892.683001,906.321917,929.399912,950.129609,971.401263,996.774366,1022.183177,1050.48921,1081.062959,1115.008122,1150.355076,1186.179022,1229.840348,1273.028162,1318.953659,1373.954954,1429.456289,1488.486898,1554.192722,1621.410075,-7.637512,-17.882566,-18.88002,-15.963164,-28.062849,-26.796648,-32.585536,-33.791812,-34.728174,-35.632715,-40.781186,-39.220288,-44.296644,-50.051774,-54.547519,-58.196081,-63.004504,-69.321829,-77.043239,-84.527607,-92.286639,-102.064143,-112.278786,-122.381571,-134.632903,-145.476363,-155.510426,-164.751788,-173.380739,-178.868909,-182.148417,-184.163547,-184.528251,-183.120481,-179.978976,-176.444011,-172.691309,-166.758774,-162.850369,-158.341762,-154.794219,-150.359119,-149.933883,-148.880951,-148.662968,-149.630926,-151.171579,-154.753731,-158.841222,-164.456802,-171.685759,-179.858424,-188.309933,-198.602741,-210.303164,-222.809706,-238.108383,-253.443475,-271.928367,-291.199276,-310.657357,-333.82623,-358.412044,-385.691809,-413.945776,-446.643641,-480.926125,-517.414333,-556.60644,-601.124156,-644.526248,-697.911593,-748.229347,-809.833888,-873.91372,-939.173631
4B2G2,0,265.889417,268.070214,273.756991,285.190244,278.425655,290.343261,291.549875,293.650884,302.007319,302.937744,307.623085,308.726228,312.36686,313.926497,315.542666,319.353956,321.578311,325.715492,332.926516,337.591797,344.365325,352.140558,361.368753,373.234557,385.98353,400.15117,416.53993,434.585374,454.231103,473.465402,495.040706,515.002786,533.104038,553.42518,571.197223,587.570113,605.252644,617.180056,632.894524,643.44767,658.467069,665.649416,678.500589,688.513518,698.494425,709.91789,715.749179,729.397225,737.537785,749.977201,764.999635,778.538073,786.841229,802.203797,818.728122,832.504082,854.106887,868.286302,891.958673,914.543033,933.705589,959.600839,985.310997,1015.67043,1045.814188,1078.445543,1114.838945,1152.685882,1193.002843,1240.037686,1286.636198,1340.777822,1398.344202,1459.122467,1521.91404,1591.088157,-1.442231,-8.178549,-19.668173,-31.345511,-24.872765,-29.373969,-32.778728,-33.946349,-35.774393,-37.00243,-38.83292,-40.813726,-42.697914,-50.188272,-53.531915,-57.959633,-61.398864,-68.146563,-74.174223,-80.949704,-88.714263,-97.388223,-107.055272,-116.350701,-126.589959,-134.600626,-143.546693,-151.385298,-157.284443,-161.467711,-161.754886,-162.757898,-162.222781,-160.562627,-157.684824,-153.483263,-150.555389,-146.21228,-142.716512,-140.192525,-138.663305,-136.254942,-136.195778,-136.064148,-137.290061,-139.29619,-141.767039,-146.480785,-151.231897,-157.755187,-165.196652,-173.716234,-182.187151,-193.351082,-205.925041,-218.407697,-233.353723,-248.696214,-267.65532,-287.539888,-307.134865,-330.66767,-354.995441,-381.914011,-411.075287,-442.97806,-476.174645,-513.92529,-553.569391,-595.934802,-645.748706,-693.064761,-746.334966,-805.891362,-868.521953,-936.495019
4B2G3,0,267.31704,266.457742,276.33331,275.422582,286.875938,282.889769,294.983758,298.717685,299.294251,304.118634,306.914752,307.746617,312.053826,312.98162,315.565961,318.392438,320.380581,325.886717,331.639717,336.91675,344.825276,351.980827,362.666908,373.001221,386.11149,400.497732,416.445513,434.784045,453.740212,474.013043,495.816619,515.021729,533.783735,553.132581,571.884771,588.090157,605.66845,617.216237,633.634046,644.347827,659.363746,667.202668,678.809506,690.434302,698.990438,711.771366,717.065798,732.98238,737.100918,754.682286,767.995,780.744734,793.060885,804.29457,821.058375,834.994829,853.782375,871.606145,892.523786,918.327935,939.372403,963.02086,990.987766,1019.343345,1049.163024,1082.291878,1119.87886,1157.876341,1199.324194,1244.14695,1289.301086,1343.073718,1401.37562,1460.044655,1526.290287,1595.336514,5.45066,-19.406723,-14.698723,-15.720622,-21.203374,-31.228711,-38.040991,-32.855933,-32.146652,-34.461774,-38.690485,-38.731655,-42.756092,-49.714749,-53.825775,-56.66758,-61.622221,-66.985437,-74.625753,-82.025308,-88.871006,-96.603806,-106.557059,-116.705553,-125.879213,-135.256733,-143.187009,-151.434548,-157.696721,-161.798604,-162.308598,-162.893882,-162.676261,-161.292975,-158.521355,-154.481585,-150.743016,-146.984237,-143.685481,-140.675547,-138.252099,-135.860947,-136.05795,-136.079033,-137.505771,-139.679074,-142.429096,-146.42679,-151.279489,-157.930536,-166.240327,-174.445138,-183.29891,-193.749197,-206.118316,-218.086144,-233.263855,-249.604735,-266.987474,-286.228043,-307.415946,-330.214762,-355.871152,-381.961941,-411.062107,-442.211408,-476.018222,-513.905063,-553.127799,-598.583832,-647.198454,-693.352528,-746.977428,-809.065637,-868.628144,-934.826551
5B2G1,0,212.903101,210.175292,226.393328,227.735508,227.905214,226.830447,234.864804,238.059197,239.78233,242.30753,242.449995,245.144069,246.902546,247.161169,249.617437,253.101253,255.812116,259.074314,263.4009,268.756561,273.469491,279.641616,287.528744,297.754169,309.439468,322.954217,340.3438,360.622306,384.195765,410.69393,441.665504,475.710257,509.572124,546.832893,585.425779,622.797572,661.770268,694.808409,731.647309,760.357453,791.970562,812.882381,839.078613,860.047419,878.641809,900.843971,911.073514,934.175939,943.864211,966.91609,984.371985,1001.430023,1015.572874,1031.070718,1051.710938,1067.290834,1092.513766,1106.38887,1132.770432,1164.798603,1178.914018,1208.031879,1235.515889,1266.64493,1297.745721,1333.69244,1371.903254,1410.282131,1453.867569,1500.5712,1552.229324,1603.754432,1657.595732,1718.095555,1786.569156,1860.321161,31.180677,9.248348,1.797248,-9.62257,-15.56663,-12.741549,-16.75412,-20.810019,-22.957683,-23.440381,-27.314363,-32.124232,-35.772769,-43.495338,-48.646135,-53.455705,-60.459826,-68.384817,-75.317321,-84.857989,-95.248676,-107.842441,-121.351647,-136.98931,-152.646866,-170.192341,-188.015997,-207.219952,-225.204265,-243.267589,-257.058154,-271.559244,-282.747613,-290.061667,-295.150553,-294.814444,-293.246183,-286.643019,-279.45059,-270.748573,-261.150589,-250.865237,-242.184112,-235.045753,-227.087199,-221.922356,-216.494063,-214.461407,-212.795272,-214.52056,-216.692889,-220.930236,-225.906026,-233.001759,-242.335711,-252.532178,-264.438875,-278.304724,-294.241212,-313.781573,-331.621141,-353.925247,-377.18001,-403.631793,-432.395601,-464.771568,-497.688861,-533.446622,-574.900344,-618.362806,-661.530112,-715.599218,-763.904916,-828.649349,-892.150869,-961.433643
5B2G2,0,221.899819,225.236656,231.569179,227.623338,227.167721,228.394387,234.24144,240.874936,242.433512,243.288008,244.254403,247.55388,247.395538,248.674973,250.999052,253.904835,255.886406,259.296735,264.077086,268.157361,274.035073,280.118267,287.625684,297.383089,308.325725,323.066269,338.721075,359.078762,382.109433,408.682372,441.251015,473.535945,507.712976,544.560383,583.898404,622.006361,660.6147,692.731743,727.519995,754.69166,785.807863,805.9953,830.222855,849.403206,866.617888,885.509807,895.559648,917.156297,923.025354,946.274151,961.21804,975.993727,991.005851,1001.560925,1020.826636,1035.551295,1052.012591,1073.304101,1095.779971,1124.606108,1142.818274,1169.696136,1198.949917,1226.401038,1256.926485,1292.432303,1328.649526,1367.486836,1412.839842,1455.563596,1509.125504,1558.480716,1618.378693,1679.209699,1742.558993,1817.636266,13.757033,16.006016,4.838346,-7.328187,-3.099127,-15.150163,-14.99949,-18.744737,-21.804431,-27.439288,-27.470009,-32.572334,-36.550561,-42.658949,-48.24759,-52.828191,-60.635088,-67.823919,-76.287172,-85.576796,-95.681574,-107.667619,-122.01779,-135.850131,-153.372713,-169.910905,-188.626312,-206.885892,-225.92224,-243.598771,-257.815993,-271.65382,-282.288521,-290.382769,-293.054002,-293.653731,-291.357716,-284.030485,-276.061851,-266.099492,-257.042265,-245.034032,-236.442821,-228.551836,-221.185183,-214.531717,-209.662338,-208.513019,-205.849166,-207.511134,-210.322963,-214.54973,-219.599437,-226.940142,-236.153055,-246.158076,-257.850287,-273.480868,-288.768558,-307.259855,-326.61079,-348.823354,-373.528509,-398.587115,-427.365188,-459.020245,-493.1892,-531.194995,-568.755989,-613.980897,-658.853047,-709.760265,-764.314536,-825.11452,-887.944195,-955.907854
5B2G3,0,220.502312,213.891535,224.601281,228.974124,225.447715,231.434041,239.456173,239.441063,240.501747,244.019913,246.127711,246.616145,248.326054,249.404064,251.059362,253.899151,255.79022,259.230123,263.293557,268.806099,274.380399,279.387077,287.639415,297.878926,309.079152,322.654877,339.295185,359.994808,382.431923,409.201433,440.203114,472.530536,505.394427,542.712001,579.063564,615.474426,652.891006,683.705926,716.812899,744.044036,772.335897,792.107639,815.788765,834.255893,849.822626,870.454234,879.95055,900.549128,906.899393,929.54607,945.145093,960.740923,973.851836,985.677673,1005.98914,1019.943294,1038.888021,1058.575266,1082.129525,1113.035892,1128.751118,1156.076549,1184.428598,1213.617642,1245.502727,1279.783843,1314.671792,1356.040315,1400.229586,1444.138,1498.384197,1549.591267,1597.678355,1666.465874,1733.629815,1808.492488,13.569641,12.093943,6.705432,-7.568998,-11.84198,-10.779592,-16.2566,-18.518412,-19.33586,-25.571459,-28.57307,-31.134681,-35.951154,-43.635635,-48.468524,-52.773385,-58.762604,-67.650939,-75.141845,-84.201954,-94.694694,-104.986897,-120.678069,-133.913362,-150.021103,-167.249807,-185.298856,-203.733765,-220.065171,-238.238732,-251.566621,-264.045623,-274.184386,-280.45263,-283.913334,-282.140628,-281.042151,-273.467035,-265.368589,-256.039505,-246.357198,-236.29282,-228.943118,-219.891001,-214.167219,-208.936129,-204.787618,-202.992851,-201.322131,-203.561896,-206.682721,-211.237103,-216.755652,-224.054936,-233.621887,-244.451885,-256.394103,-270.886816,-286.576403,-306.355667,-325.421321,-347.344832,-372.341464,-397.440867,-427.228934,-458.217166,-491.884497,-529.020949,-569.316502,-613.282782,-657.10485,-705.684757,-759.551756,-819.383631,-886.026263,-955.345317
6B2G1,0,166.994919,173.720397,184.319214,169.568196,173.209868,176.531726,179.866211,179.617042,183.928413,185.82301,186.448726,188.365823,190.58088,191.496255,193.658663,196.213892,197.829232,202.141756,206.623249,210.485239,217.460715,223.753763,231.397767,242.066617,253.484118,267.063133,283.238176,301.399056,323.487312,345.829639,372.124112,399.069947,425.80291,454.22823,481.443927,506.881386,534.494371,555.882992,578.496945,596.805927,617.54516,630.487241,648.152,663.510642,675.591631,691.635857,698.350256,714.895786,723.091844,738.396528,753.375797,767.340038,779.73744,791.897444,809.805687,823.227581,845.046129,857.864576,886.388664,907.701098,924.995049,952.331322,974.628429,1006.544247,1036.060255,1069.749284,1104.927899,1143.313807,1186.08471,1227.974323,1277.456255,1326.742748,1385.937063,1446.171801,1508.996567,1581.810931,39.426126,31.697263,26.155975,13.399463,11.368992,5.292437,-3.064325,-6.021918,-10.804322,-15.055894,-20.415336,-23.337401,-28.941017,-36.148376,-41.759497,-46.421525,-53.189616,-60.083832,-68.739123,-77.124058,-86.18392,-96.760055,-109.287178,-121.380179,-134.593112,-148.440979,-161.315923,-174.898009,-187.567304,-198.267459,-205.900433,-214.026998,-217.936718,-219.334765,-220.431777,-216.852657,-214.556488,-208.117123,-202.487898,-195.786701,-190.872398,-183.815179,-180.424953,-177.723195,-174.642074,-174.367634,-172.718801,-174.634307,-176.358589,-180.739086,-186.585303,-192.859086,-201.050309,-209.24951,-221.097263,-231.975154,-245.29083,-260.62859,-279.051538,-297.264262,-316.017918,-338.761944,-361.646166,-389.346591,-417.68815,-448.387444,-482.450458,-518.868079,-558.032603,-599.99281,-646.753096,-696.536539,-749.89403,-810.237207,-870.10583,-937.009022
6B2G2,0,179.069446,182.063192,171.948503,169.270854,183.16196,179.863683,183.720984,182.069063,184.874057,185.676217,187.904252,189.692298,191.194394,191.799864,192.723717,196.458962,198.458465,202.60658,206.752555,211.201473,217.900967,224.307767,232.99577,242.731195,254.353219,268.179846,283.81767,302.889665,323.932194,346.254893,371.539954,396.817335,421.16277,447.467606,472.901601,496.235585,520.075448,539.865268,561.629815,576.977936,596.578468,608.140129,623.237568,637.866349,648.926491,663.543759,670.643332,686.441201,694.598583,710.040249,724.003262,737.802074,750.808624,760.94738,778.449921,792.831171,815.260399,829.147579,854.761015,883.487316,897.92496,922.970292,951.210762,980.490579,1008.937861,1042.187086,1078.120892,1117.670188,1158.491971,1202.904015,1254.10572,1302.990994,1353.063648,1417.154498,1484.556242,1556.644573,39.748154,35.084574,22.171536,18.424479,8.622677,4.453238,-0.981227,-8.169103,-9.866509,-12.574541,-18.939954,-23.372685,-28.851607,-34.954518,-40.375315,-46.160217,-52.011142,-59.816113,-67.454228,-75.567246,-85.630094,-95.296879,-107.163005,-119.137514,-131.42237,-144.409645,-156.521175,-169.087892,-179.519505,-189.348923,-195.10252,-201.642256,-204.11396,-205.265011,-204.304603,-199.862679,-197.101572,-190.755976,-185.87114,-180.100904,-175.903463,-170.292034,-167.653483,-164.908501,-163.758265,-163.095993,-163.374388,-166.396666,-168.659037,-173.779194,-179.921877,-186.904993,-195.090224,-203.92657,-215.574304,-227.593633,-241.254625,-256.777175,-274.158304,-294.255095,-313.263532,-335.255285,-360.567469,-386.409426,-415.794119,-446.328478,-480.207887,-515.846105,-556.119359,-598.082559,-644.962626,-692.427339,-745.113481,-804.992183,-867.303554,-936.053654
6B2G3,0,168.634859,182.526111,178.645987,174.20165,177.740081,179.415386,182.875435,184.372091,187.362054,184.120978,186.311151,189.672126,191.234191,191.567943,193.564612,196.921633,198.749501,202.779498,207.487732,211.930588,218.078747,224.896871,233.177985,243.394304,255.36857,269.687907,285.396412,303.294722,323.571415,346.671982,371.778063,396.369689,419.601798,445.856315,469.393177,492.534097,515.82055,534.319189,554.16271,569.975213,588.202186,599.530878,614.706124,627.794641,638.257366,651.729218,660.016859,676.541518,682.807599,701.298311,713.803434,727.639879,741.149722,752.329959,769.710694,785.184753,805.014299,818.832887,844.152933,874.097633,889.177486,913.681267,939.663031,970.292737,998.720353,1033.178115,1069.806157,1108.230863,1148.505388,1195.82903,1241.182654,1291.971392,1352.350793,1413.387852,1477.262983,1546.251916,44.781799,35.596595,20.651033,10.656912,7.358867,5.713908,-2.628633,-8.095218,-7.578093,-15.10657,-18.354729,-22.245323,-28.209135,-35.030278,-41.175125,-46.008041,-52.812536,-59.590802,-67.52681,-75.612086,-84.971856,-95.41078,-106.391577,-117.987815,-129.877203,-142.636575,-154.933758,-166.296678,-176.402675,-185.515779,-190.302805,-195.413431,-198.2516,-198.480672,-197.152816,-193.517278,-190.349046,-184.232379,-180.146521,-174.433707,-170.492743,-165.455645,-162.586303,-160.575271,-159.896729,-159.898136,-160.625812,-163.822546,-165.574832,-171.260224,-177.651284,-184.573168,-193.465138,-202.414202,-214.370692,-226.933418,-240.20738,-255.011559,-273.104041,-293.418532,-312.028253,-334.126298,-359.397851,-385.069457,-412.863871,-444.64948,-478.532065,-513.481189,-554.749381,-595.403552,-643.379815,-693.947725,-743.712278,-799.876932,-865.388511,-931.480367
4B2G5A1,1,259.931286,259.018808,266.88761,284.159187,285.043945,286.612288,294.971474,297.341141,304.183294,302.675339,305.645915,309.180849,311.161716,310.845077,313.014181,317.062574,319.439926,323.519876,326.576497,330.635252,337.344416,343.801657,351.036478,361.589165,372.626794,386.555365,403.708051,424.055949,447.053003,473.6555,504.473671,535.170321,568.096519,605.089862,639.03719,673.790653,709.47586,737.551903,769.980375,793.68488,821.508042,838.17883,860.018103,877.777015,893.227315,911.659038,918.537981,938.229753,943.989945,963.820977,977.81955,992.497007,1003.696268,1015.253824,1033.547128,1045.251847,1068.416795,1082.573527,1107.907648,1135.259342,1148.567775,1175.347447,1203.266767,1231.046029,1259.347654,1294.347853,1328.566541,1367.558381,1408.649686,1453.759633,1499.587829,1552.491486,1607.21773,1661.491716,1729.294204,1802.559756,2.024821,-10.39266,-20.537527,-26.886624,-22.555581,-30.201567,-33.568747,-35.812306,-33.493891,-40.575618,-38.182414,-42.332687,-43.954126,-50.329457,-55.078642,-58.71546,-65.82357,-71.312121,-79.874412,-88.104255,-98.273695,-107.888078,-122.329909,-136.85513,-153.449617,-168.576685,-186.189896,-203.409659,-218.94164,-236.355072,-248.666838,-260.358209,-268.359194,-273.851616,-277.070782,-275.325087,-271.126579,-264.503731,-256.268763,-247.107152,-238.069764,-228.483246,-221.629744,-214.510346,-207.873294,-204.074032,-199.305927,-198.405499,-197.9583,-200.429185,-203.968349,-208.609431,-214.858606,-221.969934,-232.218032,-242.216435,-255.367724,-269.914675,-286.774447,-305.231418,-324.332946,-345.86957,-371.525905,-397.472998,-424.713645,-456.222342,-490.180729,-528.25143,-566.761057,-609.479862,-656.354703,-705.810755,-759.19195,-817.707113,-881.092517,-949.328772
